[["Activest",	"Die aktive Fondsgesellschaft."],
["ADAC",	"Wir sind da."],
["Adidas",	"Forever sport. Impossible is nothing."],
["Ado",	"Die Markengardine mit der Goldkante. Achten Sie auf die Goldkante. Nur echt mit der Goldkante."],
["Advance", "Bank	Banking für Fortgeschrittene. Direkt besser beraten.i"],
["Advocard",	"Advocard ist Anwalts Liebling. Advocard - Und der Anwalt hilft sofort."],
["AEG",	"Aus Erfahrung gut."],
["Ägypten",	"Auf jedem Gesicht ein Lächeln."],
["After", "Eight	Die feine englische Art."],
["Afri", "Cola	Sexy ... mini ... super ... flower ... pop-op ... Cola ... alles ist in Afri Cola."],
["Ahoi", "Brause	Mach was Prickelndes."],
["Ajax",	"Der weiße Wirbelwind."],
["Aktion", "Mensch	Leben wir los."],
["Alberto", "Pizza	Alberto kommt."],
["Albi",	"Albi setzt der Frucht die Krone auf."],
["Alete",	"Alete isst das Kind. Alles Gute für Ihr Kind."],
["Alldays",	"Die könnte Ihrem Slip so passen!"],
["Allegra",	"Be yourself."],
["Allianz",	"Hoffentlich Allianz versichert. Versicherung. Vorsorge. Vermögen."],
["Almighurt",	"Almighurt von Ehrmann, keiner macht mich mehr an."],
["Alno",	"Die Welt der Küche."],
["Alpecin",	"Wartung für Ihre Haare."],
["Alpia",	"Wir stecken keine Mark in die Werbung, sondern jede Mark in die Schokolade. [Anmerkung: Wirklich?]"],
["Always",	"Always trocken. Always sauber. Und mit Sicherheit ein gutes Gefühl. Spricht die Sprache Ihres Körpers."],
["Amazon",."de	And you're done."],
["American", "Express	Bezahlen Sie einfach mit Ihrem guten Namen. Don't leave home without it."],
["Amicelli",	"Unendlich genießen."],
["Amnesty", "International	Du kannst."],
["Anti","Drogen Kampagne	Keine Macht den Drogen."],
["Antikal",	"Schmutz geht, Glanz entsteht."],
["AOK",	"Die Gesundheitskasse. Die sind immer für mich da."],
["AOL",	"Online für alle. Alles online. Willkommen zuhause! Bin ich schon drin? Das ist ja einfach. Mit über ... Millionen Menschen weltweit Nummer 1."],
["Apollinaris",	"Aus dieser Quelle trinkt die Welt. The Queen of Table Waters. (seit 1894!)"],
["Apollo", "Optik	Ideen für's Sehen."],
["Apple",	"Think different. Switch!"],
["Aral",	"Alles super."],
["Arbeitsamt",	"Immer gut beraten."],
["Arcor",	"Enjoy communication. [Anmerkung: Zu dumm, wer kein Englisch kann!] The telephone people."],
["ARD",	"Das Erste ist das Fernsehen."],
["ARD/ZDF","	Bei ARD und ZDF sitzen Sie in der ersten Reihe."],
["Ariel",	"Ariel wäscht nicht nur sauber, sondern rein. Soll's wirklich rein sein, muess es Ariel sein."],
["Aronal", "und Elmex	Morgens Aronal, abends Elmex: Der medizinische Doppelschutz für Zahnfleisch und Zähne."],
["Asbach", "Uralt	Im Asbach Uralt ist der Geist des Weines. Wenn einem soviel Gutes widerfährt, das ist schon einen Asbach Uralt wert."],
["Aspirin",	"Medizin Deines Lebens. Etwas weniger Schmerz auf dieser Welt."],
["Ata",	"Zum Scheuern und Putzen nur Ata benutzen."],
["Atika",	"Es war schon immer etwas teurer, einen besonderen Geschmack zu haben."],
["AT&T","	Reach out and touch someone. The right choice. Your true choice."],
["Audi",	"Vorsprung durch Technik. Truth in Engineering. Driven by instinct. (Audi TT)"],
["Aurora",	"Aurora mit dem Sonnenstern."],
["Aventis",	"Our challenge is life."],
["Avon",	"MIt Avon siehst Du bezaubernd aus."],
["AWD",	"Ihr unabhängiger Finanzoptimierer."],
["AXA",	"Für Ihre Sicherheit. für Ihr Vermögen. The future. Together. Now."],
["Axe",	"Der Duft, der Frauen provoziert. The Axe-Effect. New Contact."]]
